Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-14,TECHM,1452.05,1.577474641483033,882048,,,0,56.72
2021-09-14,TITAN,2055.7,1.2335951542609374,527802,,,0,59.39
2021-09-14,TORNTPHARM,3133.1,0.22552422386077406,35658,,,0,40.22
2021-09-14,TRENT,1004.0,-0.208726766722992,257205,,,0,48.62
2021-09-14,TVSMOTOR,549.95,0.7880509484101655,613172,,,0,48.12
2021-09-14,UBL,1586.6,-0.7816897004565069,254325,,,0,34.46
2021-09-14,ULTRACEMCO,7856.45,-1.107691533082844,94577,,,0,56.16
2021-09-14,UPL,752.5,-0.4629629629629629,1077169,,,0,55.73
2021-09-14,VEDL,303.2,-1.7339167071787467,3087937,,,0,38.02
2021-09-14,VOLTAS,1227.75,1.2118214418202091,808266,,,0,38.92
2021-09-14,WHIRLPOOL,2275.85,-0.7890320190065133,30921,,,0,52.02
2021-09-14,WIPRO,673.45,0.40253447633247047,1503357,,,0,41.06
2021-09-14,ZEEL,261.55,39.97859245383999,63632612,,,0,29.11
2021-09-15,COROMANDEL,831.35,0.5016924564796877,586463,76097.0,7.706782133329829,76097,81.33
2021-09-15,GMRINFRA,32.3,7.666666666666658,9434790,1449768.0,6.507792971013293,1449768,29.05
2021-09-15,BHARTIARTL,725.5,4.50878709305675,20541501,4082118.0,5.032069381629831,4082118,36.85
2021-09-15,NTPC,124.2,7.161345987920618,20307081,4268793.0,4.757101363312768,4268793,41.68
2021-09-15,TATACONSUM,871.55,-1.1063202087824804,1279433,275536.0,4.643433162998664,275536,65.76
2021-09-15,TATACHEM,858.8,2.7580017947950886,1057078,252724.0,4.182736898751207,252724,31.24
2021-09-15,BANKBARODA,81.3,3.3693579148124493,14865614,3687664.0,4.031173664411942,3687664,38.18
2021-09-15,TATAPOWER,140.05,5.3007518796992565,18028979,5027123.0,3.58634133280606,5027123,26.16
2021-09-15,COALINDIA,161.05,4.104718810601179,10351755,3172869.0,3.262585061028363,3172869,42.09
