Date,Symbol,Series,Close,Prev_Close,Traded_Qty,Delivery_Qty,Delivery_Percent
2023-01-13,AUROPHARMA,EQ,435.15,446.35,1954518,766620,39.22
2023-01-13,AXISBANK,EQ,934.15,935.55,9083608,5876038,64.69
2023-01-13,BAJAJ-AUTO,EQ,3605.3,3570.3,180876,83124,45.96
2023-01-13,BAJAJFINSV,EQ,1391.15,1387.8,3754686,2225971,59.29
2023-01-13,BAJFINANCE,EQ,5977.8,5898.4,1108490,556339,50.19
2023-01-13,BALKRISIND,EQ,2233.4,2214.25,352864,178656,50.63
2023-01-13,BALRAMCHIN,EQ,394.15,386.95,1089441,249660,22.92
2023-01-13,BANDHANBNK,EQ,238.0,239.25,5995954,1206930,20.13
2023-01-13,BANKBARODA,EQ,184.9,181.7,15651311,3943703,25.2
2023-01-13,BATAINDIA,EQ,1578.9,1636.6,893881,378748,42.37
2023-01-13,BEL,EQ,99.95,99.4,11684608,4683179,40.08
2023-01-13,BERGEPAINT,EQ,562.15,561.95,507504,249268,49.12
2023-01-13,BHARATFORG,EQ,873.45,873.35,581572,138230,23.77
2023-01-13,BHARTIARTL,EQ,764.3,756.9,12279288,8128946,66.2
2023-01-13,BHEL,EQ,80.7,80.0,11720884,1438298,12.27
2023-01-13,BIOCON,EQ,252.05,250.3,2003170,812335,40.55
2023-01-13,BOSCHLTD,EQ,17332.9,17379.0,10030,3656,36.45
2023-01-13,BPCL,EQ,350.1,345.05,2716850,1144620,42.13
2023-01-13,BRITANNIA,EQ,4336.1,4299.25,183772,113153,61.57
2023-01-13,BSOFT,EQ,293.7,289.7,2186938,311290,14.23
2023-01-13,CANBK,EQ,324.6,317.15,10708251,1576117,14.72
2023-01-13,CANFINHOME,EQ,549.55,547.55,279457,68066,24.36
2023-01-13,CHAMBLFERT,EQ,306.75,307.3,651658,128502,19.72
2023-01-13,CHOLAFIN,EQ,711.7,685.6,3136135,561070,17.89
2023-01-13,CIPLA,EQ,1067.75,1061.15,1089004,660901,60.69
2023-01-13,COALINDIA,EQ,215.1,213.9,3671193,1816417,49.48
2023-01-13,COFORGE,EQ,3884.45,3904.2,351833,55917,15.89
2023-01-13,COLPAL,EQ,1484.3,1486.4,168150,93410,55.55
2023-01-13,CONCOR,EQ,713.05,722.1,1502850,968156,64.42
2023-01-13,COROMANDEL,EQ,872.9,881.85,341782,251568,73.6
2023-01-13,CROMPTON,EQ,337.3,338.0,548554,273428,49.85
2023-01-13,CUB,EQ,165.1,165.65,3244111,1712805,52.8
2023-01-13,CUMMINSIND,EQ,1462.75,1480.8,331675,122797,37.02
2023-01-13,DABUR,EQ,543.7,544.95,3143762,2154207,68.52
2023-01-13,DALBHARAT,EQ,1899.0,1897.5,231521,118432,51.15
2023-01-13,DEEPAKNTR,EQ,1944.2,1941.8,140899,27810,19.74
2023-01-13,DELTACORP,EQ,211.65,208.4,1589521,344003,21.64
2023-01-13,DIVISLAB,EQ,3351.7,3305.3,273260,86921,31.81
2023-01-13,DIXON,EQ,3626.55,3651.05,134883,66584,49.36
2023-01-13,DLF,EQ,377.05,374.9,2743616,1058771,38.59
2023-01-13,DRREDDY,EQ,4320.4,4310.6,246926,144264,58.42
2023-01-13,EICHERMOT,EQ,3162.05,3103.25,964656,454200,47.08
2023-01-13,ESCORTS,EQ,2117.95,2109.55,101721,16478,16.2
2023-01-13,EXIDEIND,EQ,183.05,182.65,1124171,554275,49.31
2023-01-13,FEDERALBNK,EQ,138.45,135.05,22395780,10423472,46.54
2023-01-13,GAIL,EQ,96.1,96.8,9641316,5687755,58.99
2023-01-13,GLENMARK,EQ,420.15,421.9,455551,142725,31.33
2023-01-13,GMRINFRA,EQ,41.1,40.4,20821760,4981297,23.92
2023-01-13,GNFC,EQ,573.85,577.65,406451,115437,28.4
2023-01-13,GODREJCP,EQ,917.2,915.15,1206142,721454,59.82
2023-01-13,GODREJPROP,EQ,1243.75,1237.55,250559,83634,33.38
2023-01-13,GRANULES,EQ,318.35,318.05,666459,130156,19.53
2023-01-13,GRASIM,EQ,1655.1,1642.4,635356,361204,56.85
2023-01-13,GUJGASLTD,EQ,450.3,466.8,3266021,1135496,34.77
2023-01-13,HAL,EQ,2462.75,2448.85,527312,272094,51.6
2023-01-13,HAVELLS,EQ,1172.6,1192.6,962496,528378,54.9
2023-01-13,HCLTECH,EQ,1077.8,1071.65,8253765,3742386,45.34
